Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.237552642822266,24.705322239577697,23.798602356597982,24.694236978633914,212818400
2015-01-05,23.55474090576172,24.0868012739077,23.36852070716593,24.006992134117137,257142000
2015-01-06,23.55695915222168,23.816338020280458,23.19560061965636,23.61903255400942,263188400
2015-01-07,23.887277603149414,23.98703817877105,23.65450067153463,23.765346507280103,160423600
2015-01-08,24.805078506469727,24.862718808875904,24.097881603917656,24.215379598807615,237458000
2015-01-09,24.831687927246094,25.10658516317443,24.432642188500562,24.978003570537155,214798000
2015-01-12,24.219810485839844,24.969127583509795,24.120049929266553,24.96247710525463,198603200
2015-01-13,24.434856414794922,25.006821335803178,24.144440865044796,24.703103135568583,268367600
2015-01-14,24.341747283935547,24.494713393902764,24.053547421688574,24.17326113255855,195826400
2015-01-15,23.68109703063965,24.399377352772145,23.645627253574848,24.386076397794433,240056000
2015-01-16,23.497102737426758,23.849593418861012,23.321966091998515,23.7276623076852,314053200
2015-01-20,24.102317810058594,24.15774072566621,23.610162048843282,23.907228064640975,199599600
2015-01-21,24.286319732666016,24.621072889818013,24.00255301394987,24.15330339614755,194303600
2015-01-22,24.91814422607422,24.933662575431267,24.324010478532255,24.443724184160846,215185600
2015-01-23,25.046724319458008,25.217426152284684,24.72527039983578,24.89597392403558,185859200
2015-01-26,25.073331832885742,25.352663858509775,25.006825335319498,25.215214390675268,222460000
2015-01-27,24.195430755615234,24.935881874965276,24.171044534562267,24.922579223516976,382274800
2015-01-28,25.563264846801758,26.186219563325192,25.563264846801758,26.077589431824446,585908400
2015-01-29,26.3591365814209,26.42342736058845,25.61868561736439,25.78717173892857,337745600
2015-01-30,25.973398208618164,26.603001772030364,25.904672637239905,26.248295420011285,334982000
2015-02-02,26.299283981323242,26.41899769418198,25.73397119942588,26.17070408947349,250956400
2015-02-03,26.303722381591797,26.401265586274963,26.07316279451361,26.27046828599304,207662800
2015-02-04,26.505455017089844,26.71606311438626,26.22834043488918,26.2704623926231,280598800
2015-02-05,26.694639205932617,26.75918372529074,26.54106770476852,26.71244324385506,168984800
2015-02-06,26.469850540161133,26.763638436784344,26.363017805912374,26.712447362487318,174826400
2015-02-09,26.645679473876953,26.672386384989608,26.35856829307448,26.385276902235912,155559200
2015-02-10,27.157583236694336,27.18651798938479,26.74361080930796,26.74583525332348,248034000
2015-02-11,27.794118881225586,27.803021749787224,27.264410937172286,27.32450317740265,294247200
2015-02-12,28.145771026611328,28.372789901407252,27.947686895532566,28.056744050182502,297898000
2015-02-13,28.283763885498047,28.328276526199947,27.96549358013913,28.328276526199947,217088800
2015-02-17,28.4506893157959,28.684384928549473,28.248152891669676,28.375015787666307,252609600
2015-02-18,28.64876937866211,28.66212282958764,28.366108881718322,28.4061709325431,179566800
2015-02-19,28.58868408203125,28.71777314010031,28.561977172119512,28.595360809509188,149449600
2015-02-20,28.8223819732666,28.8223819732666,28.499661001048015,28.626522229090835,195793600
2015-02-23,29.601346969604492,29.601346969604492,28.857975612648787,28.938099695177254,283896400
2015-02-24,29.41663360595703,29.734905680161766,29.194066956842338,29.588010876682656,276912400
2015-02-25,28.66435432434082,29.28976939734613,28.52191181926601,29.280864830474275,298846800
2015-02-26,29.02713966369629,29.12729396862077,28.179161341319833,28.664354967712665,365150000
2015-02-27,28.59091567993164,29.060531485491563,28.541950741259203,28.933666854540842,248059200
2015-03-02,28.73111915588379,28.99597393092262,28.555293050994763,28.76673062394371,192386800
2015-03-03,28.79121971130371,28.8268311875612,28.508559137168003,28.702194416757287,151265200
2015-03-04,28.60870361328125,28.835722451302797,28.559742095370847,28.73334373735905,126665200
2015-03-05,28.134645462036133,28.65545050468917,27.989976828616363,28.617614589224313,226068400
2015-03-06,28.176937103271484,28.7934459668471,28.10126525853568,28.57755604808509,291368400
2015-03-09,28.2971134185791,28.837951946679503,27.834174547989498,28.47961793705506,354114000
2015-03-10,27.711772918701172,28.314928311443243,27.553750807514756,28.13464987578879,275426400
2015-03-11,27.2065372467041,27.769630401366676,27.177604203683053,27.76517981707428,275756000
2015-03-12,27.698413848876953,27.79856984189361,27.070776078556776,27.2221214408066,193450800
2015-03-13,27.507007598876953,27.90985433352595,27.282216536512934,27.687287714754685,207309200
2015-03-16,27.809696197509766,27.809696197509766,27.346758956585212,27.571550001661393,143497200
2015-03-17,28.274858474731445,28.3371768453286,27.96549106494682,28.021132709844032,204092400
2015-03-18,28.593130111694336,28.746701602291754,28.125740611932834,28.265956952446786,261083600
2015-03-19,28.377241134643555,28.76673267962886,28.354984814539783,28.65544938106163,183238000
2015-03-20,28.02113914489746,28.57755402360196,27.856440313632152,28.544170387435678,274780400
2015-03-23,28.312702178955078,28.45514469325615,28.159130653391948,28.292671996341824,150838800
2015-03-24,28.19696807861328,28.497431004034567,28.16803332875073,28.317154267611016,131369200
2015-03-25,27.460269927978516,28.225899671022653,27.460269927978516,28.163581286923453,206620800
2015-03-26,27.65167999267578,27.794122512173175,27.286670824207608,27.32228230310634,190291600
2015-03-27,27.431333541870117,27.754054433731582,27.355661712679918,27.725121386932106,158184800
2015-03-30,28.125747680664062,28.132424408359668,27.598264118077452,27.60939312960263,188398800
2015-03-31,27.693958282470703,28.15244487179617,27.67837869054357,28.063417904477628,168362400
2015-04-01,27.653900146484375,27.847533700457387,27.39794821598168,27.780763041005063,162485600
2015-04-02,27.89204978942871,27.94546530476479,27.64055011075808,27.82750526345867,128880400
2015-04-06,28.343862533569336,28.379474012627323,27.67171199781327,27.702871192964615,148776000
2015-04-07,28.04561424255371,28.515228147761338,28.038937517074427,28.40839714399641,140049200
2015-04-08,27.954364776611328,28.13241873682573,27.81414842912516,28.010006426922278,149316800
2015-04-09,28.168031692504883,28.172483975939894,27.745156460803337,28.01000959153403,129936000
2015-04-10,28.288219451904297,28.31270191801622,27.878697651575177,28.03226747767425,160752000
2015-04-13,28.232574462890625,28.615391006220108,28.179158951331196,28.57087496683167,145460400
2015-04-14,28.110158920288086,28.330499352662446,28.02335809244218,28.26595484256325,102098400
2015-04-15,28.216995239257812,28.294893215067187,28.045619692477185,28.13464667828012,115881600
2015-04-16,28.081222534179688,28.288209503391865,28.06786908392345,28.105704991681524,113476000
2015-04-17,27.76518440246582,28.074551852348815,27.70063988225339,27.943238368434486,207828000
2015-04-20,28.39949607849121,28.51522995625131,27.85865920574181,27.94768617989097,188217200
2015-04-21,28.245929718017578,28.533039154983896,28.192512508213536,28.510784531304967,129740400
2015-04-22,28.62651824951172,28.682159905817624,28.114616030326534,28.263735261694702,150618000
2015-04-23,28.860214233398438,29.027139204330012,28.519687564385798,28.555299039914537,183083600
2015-04-24,28.995988845825195,29.073888547764113,28.762293136106706,29.0427293462082,178103600
2015-04-27,29.52345848083496,29.630292895288548,29.189608576885387,29.447786651002964,387816800
2015-04-28,29.058298110961914,29.944112330430492,28.837959324998785,29.92630998893822,475696000
2015-04-29,28.630970001220703,29.287540854217855,28.55529816511329,28.969272216185253,253544400
2015-04-30,27.854209899902344,28.63096684646575,27.727347007781397,28.63096684646575,332781600
2015-05-01,28.699962615966797,28.962592971997786,27.88759587803151,28.065648140599507,234050400
2015-05-04,28.644317626953125,29.06051943305505,28.54638779022326,28.822371566816837,203953200
2015-05-05,27.998878479003906,28.588678600449384,27.994426196173162,28.521907942375222,197085600
2015-05-06,27.823047637939453,28.210312997720948,27.455812454572502,28.168024805670445,288564000
2015-05-07,27.995147705078125,28.178414607387104,27.718011058549237,27.88563328767848,175763600
2015-05-08,28.522592544555664,28.522592544555664,28.185112723632656,28.312505520185685,222201600
2015-05-11,28.232051849365234,28.509186777069623,28.077838860535024,28.471192816243498,168143200
2015-05-12,28.131479263305664,28.357209293536233,27.896807471517413,28.071134308781183,192640000
2015-05-13,28.162765502929688,28.426491170136035,28.131476161493442,28.19405484436593,138776800
2015-05-14,28.81985092163086,28.81985092163086,28.419793993535126,28.47566807574468,180814000
2015-05-15,28.779617309570312,28.94053490611256,28.65445993676693,28.846666876510024,152832000
2015-05-18,29.09697914123535,29.21543188827345,28.687980569086267,28.692451449243087,203531600
2015-05-19,29.070167541503906,29.251199012332037,28.9740623520041,29.2087341665263,178532800
2015-05-20,29.067928314208984,29.273544501554046,28.907010704933214,29.054519081816487,145819600
2015-05-21,29.365175247192383,29.418815580549495,29.01652160607739,29.070161939434502,158921600
2015-05-22,29.622188568115234,29.718293719532653,29.36740300452463,29.412104978364436,182384000
2015-05-26,28.969587326049805,29.704892012332163,28.85783918372092,29.635608709733482,282790400
2015-05-27,29.51043701171875,29.559606448981533,29.065681752316397,29.130494150372936,183332800
2015-05-28,29.452346801757812,29.490340769536083,29.300370930644732,29.470226917821137,122933200
2015-05-29,29.117095947265625,29.37858619337023,29.032166267061793,29.329416737492505,203538000
2015-06-01,29.175203323364258,29.36517652829473,29.065692327120992,29.11709551740421,128451200
2015-06-02,29.045578002929688,29.202024716623274,28.902540520369467,29.023227010852352,134670400
2015-06-03,29.081342697143555,29.264611333053786,29.03217322947415,29.202032630617,123934000
2015-06-04,28.911479949951172,29.184145694113607,28.81090730241516,28.960649406130152,153800400
2015-06-05,28.75279426574707,28.98523230030165,28.687981846856992,28.942767462626342,142507200
2015-06-08,28.562824249267578,28.877954811317277,28.34603259256239,28.808668102346388,210699200
2015-06-09,28.47789764404297,28.62540601795868,28.075605334088277,28.316980038004523,224301600
2015-06-10,28.804197311401367,28.90700367493058,28.573994745418133,28.589639414451845,156349200
2015-06-11,28.739383697509766,29.09474193791442,28.714798972119876,28.87124567447265,141563600
